"wave","m1","m2","m3","m4","m5","m6","s1","s2","s3","s4","s5","s6","t1","t2","t3","t4","t5","t6"
1230,19.355,17.4,22.875,21.685,21.82,15.73,10.32,10.935,15.185,15.365,15.045,16.46,33.505,21.265,10.72,15.555,24.655,19.085
1240,19.65,17.64,23.05,21.91,21.99,15.8866666666667,10.4066666666667,11.0266666666667,15.38,15.48,15.15,16.6133333333333,33.9266666666667,21.6333333333333,10.86,15.78,24.8266666666667,19.3166666666667
1250,19.855,17.825,23.17,22.095,22.11,16.01,10.475,11.105,15.515,15.56,15.235,16.735,34.23,21.925,10.955,15.975,24.96,19.51
1260,20.0533333333333,17.9866666666667,23.2366666666667,22.24,22.19,16.1366666666667,10.5366666666667,11.14,15.6266666666667,15.64,15.3233333333333,16.82,34.4833333333333,22.1966666666667,11.0033333333333,16.15,25.0733333333333,19.6533333333333
1270,20.1033333333333,18.05,23.3633333333333,22.3733333333333,22.3833333333333,16.24,10.57,11.23,15.7033333333333,15.7433333333333,15.4566666666667,16.9466666666667,34.6466666666667,22.47,11.2066666666667,16.4433333333333,25.44,20.0533333333333
1280,20.1033333333333,18.0733333333333,23.37,22.3766666666667,22.3333333333333,16.2666666666667,10.6033333333333,11.21,15.74,15.7533333333333,15.46,16.9533333333333,34.6333333333333,22.45,11.1733333333333,16.36,25.3566666666667,19.94
1290,20.01,18.015,23.22,22.24,22.135,16.205,10.59,11.13,15.66,15.715,15.39,16.875,34.39,22.305,11.015,16.155,25.09,19.66
1300,19.7533333333333,17.8466666666667,22.9333333333333,21.9633333333333,21.8233333333333,16.07,10.5333333333333,10.9866666666667,15.47,15.6166666666667,15.27,16.72,33.8533333333333,22.02,10.78,15.8,24.69,19.2366666666667
1310,19.1733333333333,17.4,22.4133333333333,21.3966666666667,21.28,15.78,10.3833333333333,10.73,15.1,15.4333333333333,15.05,16.4066666666667,32.8466666666667,21.48,10.4,15.21,24.0833333333333,18.63
1320,18.495,16.895,21.78,20.705,20.57,15.4,10.165,10.39,14.645,15.17,14.74,16.025,31.535,20.71,9.925,14.44,23.21,17.765
1330,17.6333333333333,16.21,20.9833333333333,19.86,19.7733333333333,14.8966666666667,9.95,10.0033333333333,14.07,14.8433333333333,14.3233333333333,15.49,30.0833333333333,19.9466666666667,9.39,13.67,22.3,16.9433333333333
1340,16.8633333333333,15.5933333333333,20.0966666666667,18.92,18.6733333333333,14.37,9.67333333333333,9.49,13.5233333333333,14.4033333333333,13.78,14.87,28.3366666666667,19,8.69,12.61,20.8433333333333,15.6033333333333
1350,16.59,15.225,18.875,17.725,17.565,13.395,9.185,9.245,12.98,13.86,13.305,14.17,26.96,18.725,8.385,12.18,19.435,14.96
